Cilium compartment(s),Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,Subcellular location,Subcellular main location,Subcellular additional location,Reliability (IF),RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type specific nCPM,Protein cell type specificity
Primary cilium,ERICH3,C1orf173; DKFZp547I048; RP11-653A5.1,ENSG00000178965,Glutamate rich 3,Q5RHP9,1,74568117-74673792,Predicted intracellular proteins,,,,Evidence at protein level,Nuclear membrane; Nucleoli; Endoplasmic reticulum; Primary cilium,Nuclear membrane; Endoplasmic reticulum,Nucleoli; Primary cilium,Uncertain,Tissue enhanced,Detected in some,,"{'brain': '10.4', 'fallopian tube': '16.3', 'testis': '22.6'}",Cell type enhanced,"{'Early spermatids': '320.0', 'Endometrial ciliated cells': '283.1', 'Ependymal cells': '236.5', 'Epididymal efferent duct ciliated cells': '296.7', 'Fallopian tube ciliated cells': '554.7', 'Lactotrophs': '141.6', 'Late primary spermatocytes': '252.8', 'Late spermatids': '532.9', 'Respiratory ciliated cells': '984.9', 'Thyrotrophs': '140.2'}",Cell type enriched
Basal body; Centrosome,EXTL1,EXTL; MGC70794,ENSG00000158008,Exostosin like glycosyltransferase 1,Q92935,1,26019884-26036464,Enzymes; Metabolic proteins; Predicted intracellular proteins,,Glycosyltransferase; Transferase,,Evidence at protein level,Centrosome; Basal body,Centrosome; Basal body,,Approved,Group enriched,Detected in many,7,"{'brain': '30.8', 'skeletal muscle': '11.9', 'tongue': '27.8'}",Group enriched,"{'Breast lactating cells': '95.3', 'Cardiomyocytes': '80.9'}",Cell type enriched
Centrosome,EYA3,DKFZp686C132,ENSG00000158161,EYA transcriptional coactivator and phosphatase 3,Q99504,1,27970344-28088637,Enzymes; Predicted intracellular proteins,DNA damage; DNA repair; Transcription; Transcription regulation,Activator; Chromatin regulator; Developmental protein; Hydrolase; Protein phosphatase,,Evidence at protein level,Nucleoplasm; Centrosome,Nucleoplasm,Centrosome,Enhanced,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Renal connecting tubule cells': '493.8'},Group enriched
Centrosome,FCMR,FAIM3; FcmuR; TOSO,ENSG00000162894,Fc mu receptor,O60667,1,206903317-206923247,Predicted intracellular proteins; Predicted membrane proteins; Predicted secreted proteins,Immunity,Receptor,,Evidence at protein level,Nucleoplasm; Golgi apparatus; Plasma membrane; Centrosome,Nucleoplasm; Plasma membrane,Golgi apparatus; Centrosome,Approved,Group enriched,Detected in many,6,"{'intestine': '56.3', 'lymphoid tissue': '169.0'}",Cell type enhanced,"{'B-cells': '296.5', 'Epicardial cells': '91.0', 'Innate lymphoid cells': '42.3', 'NK-cells': '108.3', 'T-cells': '99.7', 'Thymocytes': '61.8'}",Not detected
Primary cilium,FLAD1,FAD1; PP591,ENSG00000160688,Flavin adenine dinucleotide synthetase 1,Q8NFF5,1,154983338-154993111,Disease related genes; Enzymes; Human disease related genes; Metabolic proteins; Potential drug targets; Predicted intracellular proteins,,Nucleotidyltransferase; Transferase,Disease variant; Primary mitochondrial disease,Evidence at protein level,Plasma membrane; Cytokinetic bridge; Primary cilium; Cytosol; Mid piece; Principal piece; End piece,Plasma membrane; Cytosol,Cytokinetic bridge; Primary cilium; Mid piece; Principal piece; End piece,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,{'Late spermatids': '126.0'},Low cell type specificity
Basal body; Centriolar satellite; Centrosome,GNAI3,87U6,ENSG00000065135,G protein subunit alpha i3,P08754,1,109548615-109600195,Disease related genes; Human disease related genes; Plasma proteins; Predicted intracellular proteins,Cell cycle; Cell division,Transducer,Disease variant,Evidence at protein level,Nucleoplasm; Nucleoli; Golgi apparatus; Centriolar satellite; Centrosome; Basal body; Cytosol; Principal piece,Centrosome; Principal piece,Nucleoplasm; Nucleoli; Golgi apparatus; Centriolar satellite; Basal body; Cytosol,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Esophageal apical cells': '759.6', 'Neutrophils': '1086.0'}",Low cell type specificity
Primary cilium; Primary cilium transition zone,GPR161,RE2,ENSG00000143147,G protein-coupled receptor 161,Q8N6U8,1,168079542-168137667,Disease related genes; G-protein coupled receptors; Potential drug targets; Predicted membrane proteins; Transporters,,Developmental protein; G-protein coupled receptor; Receptor; Transducer,,Evidence at protein level,Primary cilium; Primary cilium transition zone,Primary cilium,Primary cilium transition zone,Approved,Tissue enhanced,Detected in many,,"{'endometrium 1': '24.0', 'smooth muscle': '25.7'}",Cell type enhanced,"{'Astrocytes': '26.7', 'Endometrial stromal cells': '26.2', 'Pericytes': '25.8', 'Podocytes': '36.1', 'Retinal horizontal cells': '100.2', 'Smooth muscle cells': '36.3', 'Vascular smooth muscle cells': '28.4'}",Not detected
Centrosome,GPSM2,DFNB82; LGN; Pins,ENSG00000121957,G protein signaling modulator 2,P81274,1,108875350-108934545,Disease related genes; Human disease related genes; Predicted intracellular proteins; Predicted membrane proteins,Cell cycle; Cell division; Mitosis; Transport,,Deafness,Evidence at protein level,Centrosome; Cytosol,Cytosol,Centrosome,Supported,Tissue enhanced,Detected in many,,{'tongue': '50.8'},Cell type enhanced,"{'Cone photoreceptor cells': '178.0', 'Esophageal apical cells': '233.7', 'Fibro-adipogenic progenitors': '217.5', 'Myosatellite cells': '175.4', 'Oligodendrocyte progenitor cells': '245.8', 'Oligodendrocytes': '193.6'}",Cell type enriched
Primary cilium,GRHL3,SOM; TFCP2L4,ENSG00000158055,Grainyhead like transcription factor 3,Q8TE85,1,24199558-24364482,Disease related genes; Human disease related genes; Predicted intracellular proteins; Transcription factors,Transcription; Transcription regulation,DNA-binding,,Evidence at protein level,Nucleoplasm; Actin filaments; Primary cilium; Cytosol,Nucleoplasm,Actin filaments; Primary cilium; Cytosol,Supported,Tissue enhanced,Detected in many,,"{'esophagus': '102.2', 'skin 1': '49.4', 'vagina': '42.5'}",Cell type enhanced,"{'Epididymal basal cells': '77.8', 'Esophageal apical cells': '537.9', 'Esophageal basal cells': '64.0', 'Esophageal suprabasal cells': '251.2', 'Ocular epithelial cells': '193.1', 'Suprabasal keratinocytes': '215.5', 'Urothelial cells': '304.3'}",Not detected
Primary cilium; Primary cilium tip; Primary cilium transition zone,GSTM1,GST1; H-B; MU,ENSG00000134184,Glutathione S-transferase mu 1,P09488,1,109687814-109709039,Cancer-related genes; Enzymes; Metabolic proteins; Plasma proteins; Predicted intracellular proteins,Lipid metabolism,Transferase,Cancer-related genes,Evidence at protein level,Microtubules; Cytokinetic bridge; Primary cilium; Primary cilium tip; Primary cilium transition zone; Cytosol,Cytosol,Microtubules; Cytokinetic bridge; Primary cilium; Primary cilium tip; Primary cilium transition zone,Approved,Tissue enhanced,Detected in many,,{'liver': '569.8'},Cell type enhanced,"{'Basal keratinocytes': '7.5', 'Hematopoietic stem cells': '3.9', 'Hepatic stellate cells': '6.5', 'Kupffer cells': '7.2', 'Medullary thymic epithelial cells': '4.8', 'Peritubular myoid cells': '4.1', 'Platelets': '4.2', 'Suprabasal keratinocytes': '5.6', 'Urothelial cells': '13.0'}",Not detected
Primary cilium tip; Primary cilium transition zone,GSTM2,GST4,ENSG00000213366,Glutathione S-transferase mu 2,P28161,1,109668022-109709551,Enzymes; Metabolic proteins; Predicted intracellular proteins,Lipid metabolism,Transferase,,Evidence at protein level,Vesicles; Microtubules; Cytokinetic bridge; Primary cilium tip; Primary cilium transition zone; Cytosol,Cytosol,Vesicles; Microtubules; Cytokinetic bridge; Primary cilium tip; Primary cilium transition zone,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Adipocytes': '36.9', 'Fibro-adipogenic progenitors': '48.7', 'Hematopoietic stem cells': '75.2', 'Mast cells': '64.3', 'Medullary thymic epithelial cells': '40.8', 'Pituitary stem cells': '38.6'}",Cell type enriched
Primary cilium; Primary cilium tip; Primary cilium transition zone,GSTM3,GST5,ENSG00000134202,Glutathione S-transferase mu 3,P21266,1,109733932-109741038,Cancer-related genes; Enzymes; Metabolic proteins; Predicted intracellular proteins,,Transferase,Cancer-related genes,Evidence at protein level,Microtubules; Cytokinetic bridge; Primary cilium; Primary cilium tip; Primary cilium transition zone; Cytosol,Cytosol,Microtubules; Cytokinetic bridge; Primary cilium; Primary cilium tip; Primary cilium transition zone,Supported,Tissue enhanced,Detected in many,,{'choroid plexus': '93.2'},Group enriched,"{'Early spermatids': '1991.2', 'Late primary spermatocytes': '3268.9', 'Late spermatids': '6017.8'}",Group enriched
Primary cilium; Primary cilium tip,GSTM4,,ENSG00000168765,Glutathione S-transferase mu 4,Q03013,1,109656099-109665496,Enzymes; Metabolic proteins; Predicted intracellular proteins,Lipid metabolism,Lyase; Transferase,,Evidence at protein level,Microtubules; Cytokinetic bridge; Primary cilium; Primary cilium tip; Cytosol,Cytosol,Microtubules; Cytokinetic bridge; Primary cilium; Primary cilium tip,Approved,Tissue enhanced,Detected in all,,{'intestine': '128.0'},Cell type enhanced,"{'Enteric stem cells': '78.3', 'Enteric transient amplifying cells': '117.2', 'Enterocytes': '335.0', 'Paneth cells': '104.4'}",Low cell type specificity
Primary cilium; Primary cilium tip; Primary cilium transition zone,GSTM5,,ENSG00000134201,Glutathione S-transferase mu 5,P46439,1,109711780-109775428,Enzymes; Metabolic proteins; Predicted intracellular proteins,,Transferase,,Evidence at protein level,Microtubules; Cytokinetic bridge; Primary cilium; Primary cilium tip; Primary cilium transition zone; Cytosol,Cytosol,Microtubules; Cytokinetic bridge; Primary cilium; Primary cilium tip; Primary cilium transition zone,Supported,Tissue enriched,Detected in many,5,{'breast': '874.2'},Cell type enhanced,"{'Fibroblasts': '48.9', 'Hematopoietic stem cells': '90.7', 'Hepatic stellate cells': '45.2', 'Leydig cells': '106.9', 'Mast cells': '342.8', 'Megakaryocytes': '55.6', 'Müller glia': '148.3', 'Ovarian stromal cells': '144.0', 'Peritubular myoid cells': '107.8'}",Cell type enhanced
Basal body; Centrosome,HIPK1,KIAA0630; MGC26642; MGC33446; MGC33548; Myak; Nbak2,ENSG00000163349,Homeodomain interacting protein kinase 1,Q86Z02,1,113929324-113977869,Enzymes; Plasma proteins; Predicted intracellular proteins; Predicted membrane proteins,Transcription; Transcription regulation,Kinase; Serine/threonine-protein kinase; Transferase,,Evidence at protein level,Nucleoplasm; Centrosome; Basal body; Cytosol,Nucleoplasm; Basal body; Cytosol,Centrosome,Supported,Tissue enhanced,Detected in all,,{'bone marrow': '134.1'},Cell type enhanced,"{'Fallopian tube ciliated cells': '293.5', 'Neutrophil progenitors': '548.7', 'Neutrophils': '470.5'}",Not detected
Primary cilium; Primary cilium transition zone,HSD3B1,HSD3B; HSDB3; SDR11E1,ENSG00000203857,"Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1",P14060,1,119507198-119515054,Enzymes; FDA approved drug targets; Metabolic proteins; Predicted intracellular proteins; Predicted membrane proteins,Lipid metabolism; Steroid metabolism; Steroidogenesis,Isomerase; Multifunctional enzyme; Oxidoreductase,FDA approved drug targets,Evidence at protein level,Nucleoli; Endoplasmic reticulum; Microtubules; Cytokinetic bridge; Primary cilium; Primary cilium transition zone,Nucleoli; Endoplasmic reticulum; Primary cilium,Microtubules; Cytokinetic bridge; Primary cilium transition zone,Approved,Tissue enriched,Detected in some,9,{'placenta': '73.1'},Cell type enhanced,"{'Enterocytes': '44.6', 'Extravillous trophoblasts': '266.6', 'Migrating cytotrophoblasts': '142.3', 'Syncytiotrophoblasts': '782.0'}",Cell type enriched
Primary cilium; Primary cilium transition zone,HSD3B2,SDR11E2,ENSG00000203859,"Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2",P26439,1,119414931-119423035,Disease related genes; Enzymes; FDA approved drug targets; Human disease related genes; Metabolic proteins; Predicted intracellular proteins; Predicted membrane proteins,Lipid metabolism; Steroidogenesis,Isomerase; Multifunctional enzyme; Oxidoreductase,Congenital adrenal hyperplasia; Disease variant; FDA approved drug targets,Evidence at protein level,Nucleoli; Endoplasmic reticulum; Microtubules; Cytokinetic bridge; Primary cilium; Primary cilium transition zone,Endoplasmic reticulum; Primary cilium,Nucleoli; Microtubules; Cytokinetic bridge; Primary cilium transition zone,Approved,Tissue enriched,Detected in some,53,{'adrenal gland': '2103.4'},Cell type enriched,{'Adrenal cortex cells': '2208.4'},Cell type enriched
Primary cilium tip,INPP5B,,ENSG00000204084,Inositol polyphosphate-5-phosphatase B,P32019,1,37860697-37947057,Enzymes; Metabolic proteins; Predicted intracellular proteins,Lipid metabolism,Hydrolase,,Evidence at protein level,Primary cilium tip; Cytosol,Cytosol,Primary cilium tip,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Myonuclei': '145.7', 'Retinal ganglion cells': '166.1'}",Cell type enhanced
Centrosome,IVL,,ENSG00000163207,Involucrin,P07476,1,152908546-152911886,Plasma proteins; Predicted intracellular proteins,Keratinization,,,Evidence at protein level,Nuclear bodies; Centrosome; Cytosol,Cytosol,Nuclear bodies; Centrosome,Supported,Group enriched,Detected in some,6,"{'cervix': '195.7', 'esophagus': '294.3', 'salivary gland': '84.6', 'skin 1': '156.4', 'vagina': '223.1'}",Group enriched,"{'Esophageal apical cells': '3166.6', 'Esophageal suprabasal cells': '1049.9'}",Cell type enriched
Basal body; Primary cilium tip,KIF17,KIAA1405; KIF17B; KIF3X; KLP-2; OSM-3,ENSG00000117245,Kinesin family member 17,Q9P2E2,1,20664014-20718017,Plasma proteins; Predicted intracellular proteins,Protein transport; Transport,Motor protein,,Evidence at protein level,Nucleoplasm; Plasma membrane; Primary cilium tip; Basal body; Cytosol; Acrosome; Principal piece,Nucleoplasm,Plasma membrane; Primary cilium tip; Basal body; Cytosol; Acrosome; Principal piece,Approved,Tissue enriched,Detected in some,5,{'testis': '21.0'},Cell type enhanced,"{'Early spermatids': '56.5', 'Endometrial ciliated cells': '18.6', 'Ependymal cells': '41.8', 'Epididymal efferent duct ciliated cells': '26.4', 'Fallopian tube ciliated cells': '21.6', 'Late primary spermatocytes': '35.2', 'Late spermatids': '164.0', 'Lymphatic endothelial cells': '17.8', 'Respiratory ciliated cells': '30.4', 'Vascular endothelial cells': '18.2'}",Cell type enriched
Primary cilium,KIF26B,FLJ10157,ENSG00000162849,Kinesin family member 26B,Q2KJY2,1,245154985-245709432,Predicted intracellular proteins,,Developmental protein; Motor protein,,Evidence at protein level,Plasma membrane; Microtubules; Cytokinetic bridge; Primary cilium,Microtubules; Primary cilium,Plasma membrane; Cytokinetic bridge,Approved,Tissue enhanced,Detected in some,,{'brain': '3.4'},Cell type enhanced,"{'Brain excitatory neurons': '167.8', 'Brain inhibitory neurons': '183.5', 'Endometrial stromal cells': '217.7', 'Loop of henle epithelial cells': '156.0', 'Microglia': '244.9', 'Oligodendrocyte progenitor cells': '565.4', 'Other brain neurons': '141.3', 'Papillary tip epithelial cells': '212.1', 'Proximal tubule cells': '215.0', 'Renal collecting duct principal cells': '477.6', 'Renal connecting tubule cells': '237.1'}",Group enriched
Centrosome,KIF2C,CT139; KNSL6; MCAK,ENSG00000142945,Kinesin family member 2C,Q99661,1,44739818-44767767,Cancer-related genes; Plasma proteins; Predicted intracellular proteins,Cell cycle; Cell division; Chromosome partition; Mitosis,,Cancer-related genes,Evidence at protein level,Nucleoplasm; Midbody; Centrosome; Cytosol,Nucleoplasm; Midbody; Centrosome,Cytosol,Approved,Group enriched,Detected in many,6,"{'bone marrow': '31.1', 'lymphoid tissue': '34.8', 'testis': '72.6'}",Cell type enriched,{'Late spermatids': '3084.5'},Group enriched
Basal body,KIFAP3,FLA3; KAP-1; KAP3; SMAP,ENSG00000075945,Kinesin associated protein 3,Q92845,1,169921326-170085208,Plasma proteins; Predicted intracellular proteins,,,,Evidence at protein level,Nucleoplasm; Microtubules; Basal body,Microtubules; Basal body,Nucleoplasm,Approved,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Late spermatids': '319.2', 'Platelets': '395.1'}",Cell type enhanced
Centriolar satellite,KLHL12,C3IP1,ENSG00000117153,Kelch like family member 12,Q53G59,1,202891116-202928636,Predicted intracellular proteins,ER-Golgi transport; Transport; Ubl conjugation pathway; Wnt signaling pathway,,,Evidence at protein level,Vesicles; Centriolar satellite,Vesicles; Centriolar satellite,,Supported,Low tissue specificity,Detected in all,,,Cell type enhanced,"{'Early spermatids': '146.5', 'Late primary spermatocytes': '103.8', 'Late spermatids': '118.7'}",Cell type enriched
Centrosome,KLHL21,KIAA0469,ENSG00000162413,Kelch like family member 21,Q9UJP4,1,6590724-6614607,Predicted intracellular proteins,Cell cycle; Cell division; Mitosis; Ubl conjugation pathway,,,Evidence at protein level,Centrosome,Centrosome,,Supported,Tissue enhanced,Detected in all,,{'skeletal muscle': '160.3'},Cell type enhanced,"{'Breast secretory cells': '103.0', 'Epididymal basal cells': '114.3', 'Ocular epithelial cells': '131.8'}",Cell type enriched
Primary cilium,LDLRAD1,,ENSG00000203985,Low density lipoprotein receptor class A domain containing 1,Q5T700,1,54007298-54018186,Predicted intracellular proteins; Predicted membrane proteins,,Receptor,,Evidence at protein level,Nucleoplasm; Golgi apparatus; Primary cilium,Nucleoplasm,Golgi apparatus; Primary cilium,Approved,Tissue enriched,Detected in some,20,{'fallopian tube': '109.3'},Cell type enhanced,"{'Endometrial ciliated cells': '129.4', 'Epididymal efferent duct ciliated cells': '93.2', 'Fallopian tube ciliated cells': '428.3', 'Respiratory ciliated cells': '370.7'}",Not detected
Basal body; Primary cilium,LEPR,CD295; OBR,ENSG00000116678,Leptin receptor,P48357,1,65420652-65641559,Cancer-related genes; Candidate cardiovascular disease genes; CD markers; Disease related genes; FDA approved drug targets; Human disease related genes; Plasma proteins; Predicted membrane proteins,,Receptor,Cancer-related genes; FDA approved drug targets; Obesity,Evidence at protein level,Vesicles; Plasma membrane; Primary cilium; Basal body; Cytosol,Vesicles,Plasma membrane; Primary cilium; Basal body; Cytosol,Approved,Tissue enriched,Detected in all,4,{'liver': '121.9'},Cell type enhanced,"{'Choroid plexus epithelial cells': '174.1', 'Fibro-adipogenic progenitors': '188.5', 'Fibroblasts': '237.9', 'Gastric chief cells': '252.3', 'Hepatocytes': '226.1', 'Parietal cells': '139.7', 'Podocytes': '204.7', 'Vascular endothelial cells': '189.8'}",Not detected
